#   	Company                               	Symbol 	Weight 	Price                                                                                                                                                                                                                                                                     	Change
1   	Microsoft Corp                        	MSFT   	11.237 	136.92                                                                                                                                                                                                                                                                    	-0.54 (-0.39%)
2   	Amazon.com Inc                        	AMZN   	10.186 	1                                                                                                                                                                                                                                                              ,943.29    	4.29 (0.22%)
3   	Apple Inc                             	AAPL   	10.033 	204.90                                                                                                                                                                                                                                                                    	0.49 (0.24%)
4   	Facebook Inc                          	FB     	5.102  	196.16                                                                                                                                                                                                                                                                    	-1.04 (-0.53%)
5   	Alphabet Inc                          	GOOG   	4.199  	1                                                                                                                                                                                                                                                                 ,128.52 	6.94 (0.62%)
6   	Alphabet Inc                          	GOOGL  	3.687  	1                                                                                                                                                                                                                                                                ,129.89  	6.90 (0.61%)
7   	Cisco Systems Inc                     	CSCO   	2.862  	56.49                                                                                                                                                                                                                                                                     	0.01 (0.01%)
8   	Intel Corp                            	INTC   	2.572  	48.02                                                                                                                                                                                                                                                                     	-0.50 (-1.03%)
9   	Comcast Corp                          	CMCSA  	2.323  	43.22                                                                                                                                                                                                                                                                     	-0.11 (-0.24%)
10  	PepsiCo Inc                           	PEP    	2.224  	132.73                                                                                                                                                                                                                                                                    	-1.26 (-0.94%)
11  	Netflix Inc                           	NFLX   	1.976  	380.89                                                                                                                                                                                                                                                                    	-0.83 (-0.22%)
12  	Adobe Inc                             	ADBE   	1.766  	303.95                                                                                                                                                                                                                                                                    	-1.75 (-0.57%)
13  	PayPal Holdings Inc                   	PYPL   	1.637  	116.82                                                                                                                                                                                                                                                                    	-0.86 (-0.73%)
14  	Costco Wholesale Corp                 	COST   	1.402  	268.36                                                                                                                                                                                                                                                                    	-0.78 (-0.29%)
15  	Amgen Inc                             	AMGN   	1.362  	185.55                                                                                                                                                                                                                                                                    	-3.03 (-1.61%)
16  	Broadcom Inc                          	AVGO   	1.335  	283.07                                                                                                                                                                                                                                                                    	-1.82 (-0.64%)
17  	Texas Instruments Inc                 	TXN    	1.288  	115.66                                                                                                                                                                                                                                                                    	-0.28 (-0.24%)
18  	Starbucks Corp                        	SBUX   	1.259  	87.65                                                                                                                                                                                                                                                                     	-0.14 (-0.16%)
19  	NVIDIA Corp                           	NVDA   	1.173  	160.09                                                                                                                                                                                                                                                                    	-2.66 (-1.64%)
20  	QUALCOMM Inc                          	QCOM   	1.103  	76.51                                                                                                                                                                                                                                                                     	-0.12 (-0.15%)
21  	Charter Communications Inc            	CHTR   	1.058  	401.98                                                                                                                                                                                                                                                                    	1.98 (0.50%)
22  	Gilead Sciences Inc                   	GILD   	1.039  	68.60                                                                                                                                                                                                                                                                     	-0.40 (-0.57%)
23  	Booking Holdings Inc                  	BKNG   	0.984  	1                                                                                                                                                                                                                                                        ,925.25          	5.60 (0.29%)
24  	Mondelez International Inc            	MDLZ   	0.952  	55.31                                                                                                                                                                                                                                                                     	-0.50 (-0.90%)
25  	Automatic Data Processing Inc         	ADP    	0.845  	164.81                                                                                                                                                                                                                                                                    	0.72 (0.44%)
26  	Intuit Inc                            	INTU   	0.829  	269.64                                                                                                                                                                                                                                                                    	-0.53 (-0.20%)
27  	Celgene Corp                          	CELG   	0.788  	93.88                                                                                                                                                                                                                                                                     	-0.49 (-0.51%)
28  	T-Mobile US Inc                       	TMUS   	0.767  	76.28                                                                                                                                                                                                                                                                     	0.46 (0.61%)
29  	CSX Corp                              	CSX    	0.754  	78.30                                                                                                                                                                                                                                                                     	-0.38 (-0.48%)
30  	Intuitive Surgical Inc                	ISRG   	0.734  	536.82                                                                                                                                                                                                                                                                    	-0.36 (-0.07%)
31  	Illumina Inc                          	ILMN   	0.658  	377.41                                                                                                                                                                                                                                                                    	-0.41 (-0.11%)
32  	Walgreens Boots Alliance Inc          	WBA    	0.597  	55.14                                                                                                                                                                                                                                                                     	-0.05 (-0.09%)
33  	Marriott International Inc/MD         	MAR    	0.559  	141.84                                                                                                                                                                                                                                                                    	0.09 (0.06%)
34  	Vertex Pharmaceuticals Inc            	VRTX   	0.556  	178.00                                                                                                                                                                                                                                                                    	-5.26 (-2.87%)
35  	Biogen Inc                            	BIIB   	0.547  	234.06                                                                                                                                                                                                                                                                    	-4.21 (-1.77%)
36  	Micron Technology Inc                 	MU     	0.519  	39.38                                                                                                                                                                                                                                                                     	-0.21 (-0.52%)
37  	Applied Materials Inc                 	AMAT   	0.495  	43.99                                                                                                                                                                                                                                                                     	-0.68 (-1.52%)
38  	Analog Devices Inc                    	ADI    	0.495  	112.77                                                                                                                                                                                                                                                                    	-0.40 (-0.35%)
39  	Tesla Inc                             	TSLA   	0.493  	234.06                                                                                                                                                                                                                                                                    	-0.84 (-0.36%)
40  	Kraft Heinz Co/The                    	KHC    	0.451  	30.99                                                                                                                                                                                                                                                                     	-0.26 (-0.83%)
41  	Autodesk Inc                          	ADSK   	0.448  	171.91                                                                                                                                                                                                                                                                    	-0.09 (-0.05%)
42  	Activision Blizzard Inc               	ATVI   	0.441  	47.94                                                                                                                                                                                                                                                                     	-0.73 (-1.49%)
43  	Fiserv Inc                            	FISV   	0.438  	94.15                                                                                                                                                                                                                                                                     	-0.08 (-0.08%)
44  	Ross Stores Inc                       	ROST   	0.435  	100.70                                                                                                                                                                                                                                                                    	0.70 (0.70%)
45  	Cognizant Technology Solutions Corp   	CTSH   	0.433  	64.68                                                                                                                                                                                                                                                                     	0.50 (0.78%)
46  	Monster Beverage Corp                 	MNST   	0.424  	65.40                                                                                                                                                                                                                                                                     	-0.55 (-0.83%)
47  	Workday Inc                           	WDAY   	0.416  	215.16                                                                                                                                                                                                                                                                    	-1.64 (-0.76%)
48  	eBay Inc                              	EBAY   	0.412  	39.97                                                                                                                                                                                                                                                                     	0.07 (0.18%)
49  	Regeneron Pharmaceuticals Inc         	REGN   	0.406  	309.01                                                                                                                                                                                                                                                                    	-9.38 (-2.95%)
50  	Advanced Micro Devices Inc            	AMD    	0.399  	31.44                                                                                                                                                                                                                                                                     	0.25 (0.79%)
51  	Baidu Inc ADR                         	BIDU   	0.391  	116.19                                                                                                                                                                                                                                                                    	-2.37 (-2.00%)
52  	NXP Semiconductors NV                 	NXPI   	0.38   	96.84                                                                                                                                                                                                                                                                     	-0.84 (-0.86%)
53  	MercadoLibre Inc                      	MELI   	0.37   	639.97                                                                                                                                                                                                                                                                    	6.45 (1.02%)
54  	Xcel Energy Inc                       	XEL    	0.37   	60.54                                                                                                                                                                                                                                                                     	-0.17 (-0.28%)
55  	Paychex Inc                           	PAYX   	0.36   	85.24                                                                                                                                                                                                                                                                     	0.64 (0.75%)
56  	O'Reilly Automotive Inc               	ORLY   	0.358  	386.94                                                                                                                                                                                                                                                                    	0.72 (0.19%)
57  	Alexion Pharmaceuticals Inc           	ALXN   	0.354  	130.39                                                                                                                                                                                                                                                                    	-2.96 (-2.22%)
58  	Xilinx Inc                            	XLNX   	0.35   	115.93                                                                                                                                                                                                                                                                    	-0.46 (-0.40%)
59  	JD.com Inc ADR                        	JD     	0.345  	30.99                                                                                                                                                                                                                                                                     	-0.52 (-1.63%)
60  	Electronic Arts Inc                   	EA     	0.345  	93.05                                                                                                                                                                                                                                                                     	-5.06 (-5.16%)
61  	Lam Research Corp                     	LRCX   	0.328  	183.41                                                                                                                                                                                                                                                                    	-1.45 (-0.78%)
62  	Sirius XM Holdings Inc                	SIRI   	0.321  	5.91                                                                                                                                                                                                                                                                      	0.03 (0.51%)
63  	Dollar Tree Inc                       	DLTR   	0.309  	109.45                                                                                                                                                                                                                                                                    	-0.30 (-0.27%)
64  	VeriSign Inc                          	VRSN   	0.306  	216.48                                                                                                                                                                                                                                                                    	-0.58 (-0.27%)
65  	Willis Towers Watson PLC              	WLTW   	0.299  	195.44                                                                                                                                                                                                                                                                    	-0.31 (-0.16%)
66  	Cintas Corp                           	CTAS   	0.297  	238.66                                                                                                                                                                                                                                                                    	-0.88 (-0.37%)
67  	Verisk Analytics Inc                  	VRSK   	0.292  	148.44                                                                                                                                                                                                                                                                    	-2.23 (-1.48%)
68  	PACCAR Inc                            	PCAR   	0.292  	70.52                                                                                                                                                                                                                                                                     	-0.68 (-0.96%)
69  	Cerner Corp                           	CERN   	0.287  	74.24                                                                                                                                                                                                                                                                     	-0.29 (-0.39%)
70  	IDEXX Laboratories Inc                	IDXX   	0.284  	277.36                                                                                                                                                                                                                                                                    	-1.51 (-0.54%)
71  	United Airlines Holdings Inc          	UAL    	0.282  	90.29                                                                                                                                                                                                                                                                     	-0.38 (-0.42%)
72  	Lululemon Athletica Inc               	LULU   	0.268  	183.30                                                                                                                                                                                                                                                                    	-0.70 (-0.38%)
73  	Align Technology Inc                  	ALGN   	0.26   	275.40                                                                                                                                                                                                                                                                    	0.40 (0.15%)
74  	Microchip Technology Inc              	MCHP   	0.253  	89.23                                                                                                                                                                                                                                                                     	-0.54 (-0.60%)
75  	Cadence Design Systems Inc            	CDNS   	0.249  	74.15                                                                                                                                                                                                                                                                     	-0.66 (-0.88%)
76  	Ulta Beauty Inc                       	ULTA   	0.239  	345.58                                                                                                                                                                                                                                                                    	0.15 (0.04%)
77  	Synopsys Inc                          	SNPS   	0.239  	134.97                                                                                                                                                                                                                                                                    	0.08 (0.06%)
78  	NetEase Inc ADR                       	NTES   	0.229  	261.02                                                                                                                                                                                                                                                                    	-4.55 (-1.71%)
79  	KLA-Tencor Corp                       	KLAC   	0.228  	117.65                                                                                                                                                                                                                                                                    	-1.41 (-1.18%)
80  	Ctrip.com International Ltd ADR       	CTRP   	0.223  	38.53                                                                                                                                                                                                                                                                     	-0.16 (-0.41%)
81  	Incyte Corp                           	INCY   	0.22   	85.56                                                                                                                                                                                                                                                                     	-0.96 (-1.11%)
82  	Fastenal Co                           	FAST   	0.219  	32.10                                                                                                                                                                                                                                                                     	-0.17 (-0.51%)
83  	Expedia Group Inc                     	EXPE   	0.217  	134.94                                                                                                                                                                                                                                                                    	0.06 (0.04%)
84  	Check Point Software Technologies Ltd 	CHKP   	0.215  	119.04                                                                                                                                                                                                                                                                    	-0.43 (-0.36%)
85  	Maxim Integrated Products Inc         	MXIM   	0.195  	60.13                                                                                                                                                                                                                                                                     	-0.24 (-0.40%)
86  	ASML Holding NV                       	ASML   	0.185  	209.31                                                                                                                                                                                                                                                                    	-4.53 (-2.12%)
87  	Symantec Corp                         	SYMC   	0.184  	25.00                                                                                                                                                                                                                                                                     	-0.11 (-0.42%)
88  	NetApp Inc                            	NTAP   	0.183  	62.41                                                                                                                                                                                                                                                                     	-0.09 (-0.14%)
89  	BioMarin Pharmaceutical Inc           	BMRN   	0.178  	81.86                                                                                                                                                                                                                                                                     	-2.29 (-2.72%)
90  	American Airlines Group Inc           	AAL    	0.172  	32.52                                                                                                                                                                                                                                                                     	-0.20 (-0.61%)
91  	Wynn Resorts Ltd                      	WYNN   	0.17   	132.54                                                                                                                                                                                                                                                                    	-0.84 (-0.63%)
92  	Liberty Global PLC                    	LBTYK  	0.166  	26.97                                                                                                                                                                                                                                                                     	0.09 (0.33%)
93  	Western Digital Corp                  	WDC    	0.166  	48.35                                                                                                                                                                                                                                                                     	0.41 (0.86%)
94  	Skyworks Solutions Inc                	SWKS   	0.165  	80.30                                                                                                                                                                                                                                                                     	-0.39 (-0.48%)
95  	Hasbro Inc                            	HAS    	0.159  	106.64                                                                                                                                                                                                                                                                    	0.25 (0.23%)
96  	Take-Two Interactive Software Inc     	TTWO   	0.157  	116.66                                                                                                                                                                                                                                                                    	-1.41 (-1.19%)
97  	Citrix Systems Inc                    	CTXS   	0.155  	99.59                                                                                                                                                                                                                                                                     	-0.10 (-0.10%)
98  	Fox Corp                              	FOXA   	0.148  	36.75                                                                                                                                                                                                                                                                     	0.40 (1.10%)
99  	Henry Schein Inc                      	HSIC   	0.122  	68.90                                                                                                                                                                                                                                                                     	-0.33 (-0.48%)
100 	Mylan NV                              	MYL    	0.12   	19.35                                                                                                                                                                                                                                                                     	-0.33 (-1.68%)
101 	JB Hunt Transport Services Inc        	JBHT   	0.118  	91.01                                                                                                                                                                                                                                                                     	-0.40 (-0.44%)
102 	Fox Corp                              	FOX    	0.113  	36.73                                                                                                                                                                                                                                                                     	0.38 (1.05%)
103 	Liberty Global PLC                    	LBTYA  	0.067  	27.69                                                                                                                                                                                                                                                                     	0.09 (0.31%)
